topic;quality;value;wait_ms
Bool1;;1;10000
Bool2;;1;1
Bool3;;1;1
Bool4;;1;1
Bool5;;1;1
Bool6;;1;1
Bool7;;1;1
Bool8;;1;1
Bool9;;1;1
Bool10;;1;1
Bool11;;1;1
Bool12;;1;1
Bool13;;1;1
Bool14;;1;1
Bool15;;1;1
Bool16;;1;1
Bool17;;1;1
Bool18;;1;1
Bool19;;1;1
Bool20;;1;1
Bool21;;1;1
Bool22;;1;1
Bool23;;1;1
Bool24;;1;1
Bool25;;1;1
Bool26;;1;1
Bool27;;1;1
Bool28;;1;1
Bool29;;1;1
Bool30;;1;1
Bool31;;1;1
Bool32;;1;1
Bool33;;1;1
DInt1;;1;1
DInt2;;1;1
DInt3;;1;1
DInt4;;1;1
DInt5;;1;1
DInt6;;1;1
DInt7;;1;1
DInt8;;1;1
DInt9;;1;1
DInt10;;1;1
DInt11;;1;1
DInt12;;1;1
DInt13;;1;1
DInt14;;1;1
DInt15;;1;1
DInt16;;1;1
DInt17;;1;1
DInt18;;1;1
DInt19;;1;1
DInt20;;1;1
DInt21;;1;1
DInt22;;1;1
DInt23;;1;1
DInt24;;1;1
DInt25;;1;1
DInt26;;1;1
DInt27;;1;1
DInt28;;1;1
DInt29;;1;1
DInt30;;1;1
DInt31;;1;1
DInt32;;1;1
DInt33;;1;1
Real1;;1;1
Real2;;1;1
Real3;;1;1
Real4;;1;1
Real5;;1;1
Real6;;1;1
Real7;;1;1
Real8;;1;1
Real9;;1;1
Real10;;1;1
Real11;;1;1
Real12;;1;1
Real13;;1;1
Real14;;1;1
Real15;;1;1
Real16;;1;1
Real17;;1;1
Real18;;1;1
Real19;;1;1
Real20;;1;1
Real21;;1;1
Real22;;1;1
Real23;;1;1
Real24;;1;1
Real25;;1;1
Real26;;1;1
Real27;;1;1
Real28;;1;1
Real29;;1;1
Real30;;1;1
Real31;;1;1
Real32;;1;1
Real33;;1;1
SP1;;1;1
SP2;;1;1
SP3;;1;1
SP4;;1;1
SP5;;1;1
SP6;;1;1
SP7;;1;1
SP8;;1;1
SP9;;1;1
SP10;;1;1
SP11;;1;1
SP12;;1;1
SP13;;1;1
SP14;;1;1
SP15;;1;1
SP16;;1;1
SP17;;1;1
SP18;;1;1
SP19;;1;1
SP20;;1;1
SP21;;1;1
SP22;;1;1
SP23;;1;1
SP24;;1;1
SP25;;1;1
SP26;;1;1
SP27;;1;1
SP28;;1;1
SP29;;1;1
SP30;;1;1
SP31;;1;1
SP32;;1;1
SP33;;1;1
DP1;;1;1
DP2;;1;1
DP3;;1;1
DP4;;1;1
DP5;;1;1
DP6;;1;1
DP7;;1;1
DP8;;1;1
DP9;;1;1
DP10;;1;1
DP11;;1;1
DP12;;1;1
DP13;;1;1
DP14;;1;1
DP15;;1;1
DP16;;1;1
DP17;;1;1
DP18;;1;1
DP19;;1;1
DP20;;1;1
DP21;;1;1
DP22;;1;1
DP23;;1;1
DP24;;1;1
DP25;;1;1
DP26;;1;1
DP27;;1;1
DP28;;1;1
DP29;;1;1
DP30;;1;1
DP31;;1;1
DP32;;1;1
DP33;;1;1
MV1;;1;1
MV2;;1;1
MV3;;1;1
MV4;;1;1
MV5;;1;1
MV6;;1;1
MV7;;1;1
MV8;;1;1
MV9;;1;1
MV10;;1;1
MV11;;1;1
MV12;;1;1
MV13;;1;1
MV14;;1;1
MV15;;1;1
MV16;;1;1
MV17;;1;1
MV18;;1;1
MV19;;1;1
MV20;;1;1
MV21;;1;1
MV22;;1;1
MV23;;1;1
MV24;;1;1
MV25;;1;1
MV26;;1;1
MV27;;1;1
MV28;;1;1
MV29;;1;1
MV30;;1;1
MV31;;1;1
MV32;;1;1
MV33;;1;1
GOTO2;;;
